n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,reg_lambda,mean_spearman,std_spearman,fold_scores,elapsed_s
500,6,0.03,1.0,0.5,1.0,1.0,0.05582545680120839,0.012425079655335177,"[0.07964255583532788, 0.05245577212456699, 0.05382557883036466, 0.043507441549259035, 0.04969593566652338]",132.51580691337585
500,6,0.03,0.8,0.5,1.0,1.0,0.05518664584402087,0.010976962421217372,"[0.06576160686374684, 0.04808382544914747, 0.05473903989377916, 0.06842928287387223, 0.03891947413955865]",131.01974987983704
700,5,0.05,0.8,0.5,1.0,1.0,0.05509573251614487,0.013206140529708515,"[0.0774168876320943, 0.049856654597573526, 0.04906771549847985, 0.060724322599799395, 0.03841308225277726]",158.8800070285797
500,5,0.03,0.8,0.5,1.0,1.0,0.05463668033032848,0.0061518379021829285,"[0.06488054660848257, 0.058274454127239576, 0.04788694872355489, 0.0512501939038164, 0.05089125828854896]",121.38528776168823
500,6,0.03,0.6,0.4,1.0,1.0,0.05437122176562953,0.0059576258871138375,"[0.05812885258059865, 0.0476120459863875, 0.06145760086846873, 0.05776482257429678, 0.04689278681839598]",129.16413283348083
500,6,0.03,0.8,0.7,1.0,1.0,0.05358915777588054,0.012883307269690732,"[0.07600190758238491, 0.048462140712623634, 0.05167691386054987, 0.05537478415828775, 0.036430042565556514]",131.14940428733826
300,6,0.05,0.8,0.5,1.0,1.0,0.05333384720532145,0.009687932963694605,"[0.0677378643609649, 0.05876584184207697, 0.04388706174661622, 0.05481337001934236, 0.041465098057606765]",88.3430826663971
500,5,0.05,0.8,0.5,1.0,1.0,0.05318258937477609,0.011711214942455915,"[0.07149984673396392, 0.04480623168524567, 0.04643617088497351, 0.06229658060926001, 0.040874116960437364]",121.560791015625
500,6,0.02,0.8,0.5,1.0,1.0,0.053119236668412215,0.009672645569195424,"[0.06929512329329052, 0.058750633213260524, 0.04864960351458805, 0.0458915486809085, 0.043009274640013515]",131.42196536064148
500,6,0.03,0.8,0.3,1.0,1.0,0.050616489286079605,0.007289838775648848,"[0.0589183369931671, 0.051997918911029756, 0.05490284819295321, 0.049913847649027066, 0.03734949468422086]",131.1701455116272
700,5,0.02,0.8,0.5,1.0,1.0,0.050183607175524524,0.008430354109474543,"[0.06412767082123845, 0.05129938611823005, 0.04904576515616237, 0.04876637564823691, 0.03767883813375483]",157.91365909576416
300,5,0.05,0.8,0.5,1.0,1.0,0.049417039026292776,0.008181830122458654,"[0.06481843942887078, 0.045231381677276944, 0.04546111190749045, 0.05014528639617351, 0.041428975721652224]",83.54061532020569
300,7,0.02,0.8,0.5,1.0,1.0,0.04834920138767161,0.011842538750673457,"[0.06034931745230275, 0.05574977329582859, 0.057114063439748945, 0.03807335816344102, 0.03045949458703677]",96.22600269317627
300,5,0.03,0.8,0.5,1.0,1.0,0.047896386472767685,0.006442144569504081,"[0.053980016649221994, 0.056385049458438995, 0.04733173689726966, 0.04081411311580528, 0.04097101624310246]",84.29899263381958
300,6,0.02,0.8,0.5,1.0,1.0,0.0477984097898463,0.009621571295199156,"[0.060911295482342385, 0.057749305231923044, 0.043192749071577705, 0.03815591013256449, 0.03898278903082387]",89.48779892921448
300,6,0.03,0.8,0.5,1.0,1.0,0.04661572265680596,0.006838453588815901,"[0.05310210694948167, 0.04968423530454529, 0.047890065272402235, 0.04901369280108839, 0.03338851295651224]",89.3705427646637
500,5,0.02,0.8,0.5,1.0,1.0,0.04586449820733451,0.00928681489876576,"[0.059856662559633275, 0.0504486159524831, 0.04644533483362459, 0.04019713341825526, 0.0323747442726763]",122.62845396995544
300,5,0.02,0.8,0.5,1.0,1.0,0.039311779346838695,0.00876093164642417,"[0.053588226161635395, 0.044882121509819205, 0.03585147726286995, 0.03227866611361498, 0.02995840568625395]",85.40744805335999
