n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,reg_lambda,mean_spearman,std_spearman,fold_scores,elapsed_s
700,7,0.05,0.8,0.5,1.0,1.0,0.07108410993183015,0.019784245201942142,"[0.10437111339133413, 0.058187275930851615, 0.08333113953636753, 0.054495557612188085, 0.055035463188409364]",189.99832940101624
500,7,0.05,0.8,0.5,1.0,1.0,0.06538865082257123,0.013891624987731997,"[0.0895048915148175, 0.058898859280239114, 0.0717420765141072, 0.055976750240793925, 0.05082067656289838]",141.53452110290527
700,7,0.03,0.8,0.5,1.0,1.0,0.06499726711396966,0.01403354489124096,"[0.08887056164071643, 0.05440968484015297, 0.06087591141563805, 0.07145348846670435, 0.04937668920663653]",189.94766569137573
500,7,0.03,0.8,0.5,1.0,1.0,0.06270015679347163,0.01428185478086845,"[0.08382003349303137, 0.05825343609535046, 0.05943883914630558, 0.07105178499831438, 0.04093669023435638]",142.32162165641785
700,7,0.02,0.8,0.5,1.0,1.0,0.06193450516055139,0.013525372502224301,"[0.08125657734272632, 0.05506760510781167, 0.07064985286185216, 0.061201376394477175, 0.0414971140958896]",189.8564691543579
300,7,0.05,0.8,0.5,1.0,1.0,0.06098389141652714,0.013931240765994135,"[0.0863092771980523, 0.05631874175795715, 0.0639547399085009, 0.052268231306769754, 0.04606846691135556]",95.11365675926208
700,6,0.05,0.8,0.5,1.0,1.0,0.05966877698811475,0.0111619389854805,"[0.08121694243792946, 0.0559104151445038, 0.057962743233069366, 0.054100888231891756, 0.04915289589317935]",171.32436728477478
700,6,0.03,0.8,0.5,1.0,1.0,0.059579714335997055,0.010111468230558187,"[0.07161150025798833, 0.053669565787711794, 0.06480007518396241, 0.06486185612947151, 0.04295557432085123]",172.15329146385193
700,5,0.03,0.8,0.5,1.0,1.0,0.05843894177206007,0.004950222837226211,"[0.06721447266217644, 0.05978679589786167, 0.05327093746272068, 0.057495968009584356, 0.05442653482795725]",158.40619540214539
300,7,0.03,0.8,0.5,1.0,1.0,0.05800628909876163,0.010956901440688583,"[0.07559483559446628, 0.06236567928815714, 0.05091365623323625, 0.05803724726387386, 0.043120027114074616]",95.81689071655273
700,6,0.02,0.8,0.5,1.0,1.0,0.05750488654538052,0.009389279099459687,"[0.07359748133131877, 0.05746091546789736, 0.055408149561121334, 0.05685726808305396, 0.04420061828351117]",172.29934287071228
500,7,0.02,0.8,0.5,1.0,1.0,0.05694273032020365,0.011155880714799728,"[0.07244107558648892, 0.05415828894906656, 0.06468729243990631, 0.05396138992393007, 0.03946560470162639]",142.78865456581116
500,6,0.05,0.8,0.5,1.0,1.0,0.05657035226335459,0.010310362166024278,"[0.07371243691029955, 0.05807808291915858, 0.05018981322556475, 0.05816276640692905, 0.04270866185482105]",129.61532759666443
500,6,0.03,0.8,0.5,10.0,5.0,0.056175637974814584,0.013396941892881063,"[0.07594920485334822, 0.06289172267559043, 0.05086090042982919, 0.05580717289046411, 0.03536918902484098]",130.5756983757019
